english,french,type,gender,weight,category
bee,abeille,noun,f,1,nature
subscribers,abonnés,noun,pl,1,""
first,d'abord,adverb,"",1,""
to accost,aborder,verb,"",2,""
to accomplish,accomplir,verb,"",1,""
at the moment,actuellement,adverb,"",1,""
so as,de manière à,phrase,"",1,""
so as to,de manière à,phrase,"",1,""
so as,afin de,phrase,"",1,""
so as to,afin de,phrase,"",1,""
so that,afin que,conjunction,"",1,""
besides,d'ailleurs,adverb,"",2,""
nowhere else,nulle part ailleurs,adverb,"",1,""
furthermore,par ailleurs,adverb,"",1,""
everywhere else,partout ailleurs,adverb,"",1,""
elsewhere,ailleurs,adverb,"",2,""
to go fishing,aller à la pêche,verb,"",1,""
to turn on,allumer,verb,"",1,""
match,allumette,noun,f,1,domestic
fine,amende,noun,f,1,""
bitter,amer,adjective,"",1,""
beginning,amorce,noun,f,1,""
to begin,se mettre,verb,"",8,""
to begin,amorcer,verb,"",8,""
lightbulb,ampoule,noun,f,1,domestic
to play,s'amuser,verb,"",1,""
anxiety,angoisse,noun,f,1,""
unpleasant,antipathique,adjective,"",1,""
to have lost your voice,être aphone,verb,"",1,""
voiceless,aphone,adjective,"",1,""
to bring,apporter,verb,"",1,""
thorough,approfondi,adjective,"",1,""
to press,appuyer,verb,"",2,""
to lean against,appuyer contre,verb,"",1,""
to lean sth against,appuyer qch contre,verb,"",1,""
to lean sth on,appuyer qch sur,verb,"",1,""
to emphasise,appuyer sur,verb,"",1,""
according to,selon,preposition,"",1,""
according to,d'après,preposition,"",1,""
to manage to do sth,arriver à faire qch,verb,"",1,""
to water,arroser,verb,"",1,domestic
to vacuum,passer l'aspirateur,verb,"",1,domestic
hoover,aspirateur,noun,m,1,domestic
insurance,assurance,noun,f,1,domestic
studio,atelier,noun,m,1,""
to wait,attendre,verb,"",1,""
to expect,s'attendre à,verb,"",1,""
thoughtful,attentionné,adjective,"",1,""
beyond,au-delà,preposition,"",1,""
with,auprès de,preposition,"",1,""
as soon as,aussitôt que,conjunction,"",1,""
self-taught,autodidacte,adjective,"",1,""
driver,automobiliste,noun,m,1,""
otherwise,par ailleurs,adverb,"",1,""
otherwise,autrement,adverb,"",1,""
in other words,autrement dit,preposition,"",1,""
blind,aveugle,adjective,"",1,""
to have difficulty doing,avoir de la peine à faire,verb,"",1,""
to be eager to,avoir hâte de,verb,"",1,""
to be on great form,avoir la pêche,verb,"",1,""
to have the knack,avoir le truc,verb,"",1,""
to be fed up with,en avoir marre de,verb,"",1,""
to confess to,avouer,verb,"",1,""
to admit to having done,avouer avoir fait,verb,"",1,""
to admit that,avouer que,verb,"",1,""
axis,axe,noun,m,1,""
focussed,axé,adjective,"",1,""
to centre something on,axer qch sur,verb,"",1,""
to give up,baisser les bras,verb,"",1,""
broom,balai,noun,m,1,domestic
mop,balai à laver,noun,m,1,domestic
weighing scales,balance,noun,f,1,domestic
to sweep,balayer,verb,"",4,domestic
to fall over,basculer,verb,"",1,""
to swing to the left,basculer à gauche,verb,"",1,""
to swing to the right,basculer à droite,verb,"",1,""
to build,bâtir,verb,"",1,""
to fight,se battre,verb,"",1,""
to beat,battre,verb,"",1,""
talkative,bavard,adjective,"",1,""
stupid,bête,adjective,"",1,""
beast,bête,noun,f,1,nature
of course,bien entendu,adverb,"",1,""
my nose is blocked,j'ai le nez bouché,phrase,"",1,""
clogged,bouché,adjective,"",1,""
to block up,se boucher,verb,"",1,""
to block,boucher,verb,"",1,""
to hold one's nose,se boucher le nez,verb,"",1,""
curly,bouclé,adjective,"",1,""
to move,déplacer,verb,"",1,""
